Name,Team,Position,Price
Haaland,ManCity,Forward,14.1
Mbeumo,Brentford,Midfielder,6.8
Bowen,WestHam,Midfielder,7.1
Maddison,Spurs,Midfielder,7.8
March,Brighton,Midfielder,6.6
J.Alvarez,ManCity,Forward,6.7
Son,Spurs,Midfielder,9.1
Rodrigo,ManCity,Midfielder,5.7
Romero,Spurs,Defender,4.7
Awoniyi,NottmForest,Forward,6.6
Ferguson,Brighton,Forward,6
Saka,Arsenal,Midfielder,8.7
Sterling,Chelsea,Midfielder,7.2
Diaby,AstonVilla,Midfielder,6.6
Edouard,CrystalPalace,Forward,5.5
Wissa,Brentford,Forward,6.2
J.Andersen,CrystalPalace,Defender,4.6
Mitoma,Brighton,Midfielder,6.5
Salah,Liverpool,Midfielder,12.5
Udogie,Spurs,Defender,4.7
Ward-Prowse,WestHam,Midfielder,6.1
Odegaard,Arsenal,Midfielder,8.5
Cash,AstonVilla,Defender,4.6
Darwin,Liverpool,Forward,7.4
Estupinan,Brighton,Defender,5.3
Foden,ManCity,Midfielder,7.6
Solanke,Bournemouth,Forward,6.5
Vicario,Spurs,Goalkeeper,5.1
Areola,WestHam,Goalkeeper,4.1
P.Neto,Wolves,Midfielder,5.5
Nketiah,Arsenal,Forward,5.6
Antonio,WestHam,Forward,6.1
Disasi,Chelsea,Defender,5.1
Isak,Newcastle,Forward,7.7
Jensen,Brentford,Midfielder,5.4
Leno,Fulham,Goalkeeper,4.5
Luis Diaz,Liverpool,Midfielder,7.7
Rashford,ManUtd,Midfielder,8.9
Szoboszlai,Liverpool,Midfielder,7
A.Becker,Liverpool,Goalkeeper,5.5
B.Fernandes,ManUtd,Midfielder,8.4
Boly,NottmForest,Defender,4.5
Diogo J.,Liverpool,Midfielder,8
Eriksen,ManUtd,Midfielder,5.9
Gusto,Chelsea,Defender,4.2
Schade,Brentford,Midfielder,5.4
Ake,ManCity,Defender,5.1
Aurier,NottmForest,Defender,4.5
Ederson M.,ManCity,Goalkeeper,5.6
Jose Sa,Wolves,Goalkeeper,5
Rice,Arsenal,Midfielder,5.4
Watkins,AstonVilla,Forward,8
Zouma,WestHam,Defender,4.5
Alexander-Arnold,Liverpool,Defender,7.9
Bailey,AstonVilla,Midfielder,5.5
Gross,Brighton,Midfielder,6.4
McGinn,AstonVilla,Midfielder,5.5
Mitchell,CrystalPalace,Defender,4.5
Pedro Porro,Spurs,Defender,5
Saliba,Arsenal,Defender,5.2
Sarr,Spurs,Midfielder,4.5
Walker,ManCity,Defender,5.2
Akanji,ManCity,Defender,5.1
Andreas,Fulham,Midfielder,5.5
Chilwell,Chelsea,Defender,5.8
Digne,AstonVilla,Defender,4.5
Eze,CrystalPalace,Midfielder,6.3
Foster,Burnley,Forward,5
Gibbs-White,NottmForest,Midfielder,5.9
Gilmour,Brighton,Midfielder,4.9
Gordon,Newcastle,Midfielder,5.5
L.Paqueta,WestHam,Midfielder,6
Martinelli,Arsenal,Midfielder,7.9
Morris,Luton,Forward,5.5
Neto,Bournemouth,Goalkeeper,4.5
R.Varane,ManUtd,Defender,5
Van de Ven,Spurs,Defender,4.5
A.Doucoure,Everton,Midfielder,5.5
Casemiro,ManUtd,Midfielder,5.4
De Cordova-Reid,Fulham,Midfielder,5.5
Flekken,Brentford,Goalkeeper,4.5
J.Ayew,CrystalPalace,Midfielder,5.5
Kulusevski,Spurs,Midfielder,7
Wan-Bissaka,ManUtd,Defender,4.6
Barnes,Newcastle,Midfielder,6.4
Collins,Brentford,Defender,4.5
Elanga,NottmForest,Midfielder,5
Hee Chan,Wolves,Midfielder,5.4
Semenyo,Bournemouth,Forward,4.5
Wilson,Newcastle,Forward,7.8
Archer,SheffieldUtd,Forward,4.5
D.Brooks,Bournemouth,Midfielder,4.9
Cunha,Wolves,Forward,5.5
Douglas Luiz,AstonVilla,Midfielder,5.4
Henry,Brentford,Defender,4.6
Norgaard,Brentford,Midfielder,5.5
Ream,Fulham,Defender,4.5
Robertson,Liverpool,Defender,6.5
R.Sanchez,Chelsea,Goalkeeper,4.5
Turner,NottmForest,Goalkeeper,4
Benrahma,WestHam,Midfielder,5.9
Colwill,Chelsea,Defender,4.5
Danjuma,Everton,Midfielder,5.5
Foderingham,SheffieldUtd,Goalkeeper,4.5
Fabio Vieira,Arsenal,Midfielder,5.4
Guehi,CrystalPalace,Defender,4.5
Johnstone,CrystalPalace,Goalkeeper,4.5
Onana,ManUtd,Goalkeeper,5
Pinnock,Brentford,Defender,4.5
Ramsdale,Arsenal,Goalkeeper,5
Ruben,ManCity,Defender,5.5
Solomon,Spurs,Midfielder,5.3
T.Silva,Chelsea,Defender,5
Tonali,Newcastle,Midfielder,5.5
White,Arsenal,Defender,5.5
E.Royal,Spurs,Defender,4.5
Grealish,ManCity,Midfielder,7.3
Hamer,SheffieldUtd,Midfielder,5
J.Palhinha,Fulham,Midfielder,5
Joao Pedro,Brighton,Forward,5.5
Kilman,Wolves,Defender,4.5
Kovačic,ManCity,Midfielder,4.9
Martinez,AstonVilla,Goalkeeper,4.9
McKenna,NottmForest,Defender,4.5
N.Jackson,Chelsea,Forward,7.2
Reed,Fulham,Midfielder,4.8
Souček,WestHam,Midfielder,4.9
Ward,CrystalPalace,Defender,4.5
