Name,Position,Team,Price,Goals,Assists,Clean Sheets,Goals Conceded,Minutes
Haaland,Man City,Forward,14.1,6,1,2,2,349
Mbeumo,Brentford,Midfielder,6.8,4,0,1,5,360
Bowen,West Ham,Midfielder,7.1,3,1,0,4,360
Maddison,Spurs,Midfielder,7.8,2,2,2,3,337
March,Brighton,Midfielder,6.6,3,0,2,4,314
J.Alvarez,Man City,Forward,6.7,2,3,2,2,359
Son,Spurs,Midfielder,9.1,3,0,2,3,325
Rodrigo,Man City,Midfielder,5.7,2,1,2,2,345
Romero,Spurs,Defender,4.7,2,0,2,2,283
Awoniyi,Nottm Forest,Forward,6.6,3,1,1,4,246
Ferguson,Brighton,Forward,6,4,0,1,4,205
Saka,Arsenal,Midfielder,8.7,2,1,1,4,358
Sterling,Chelsea,Midfielder,7.2,2,1,1,5,350
Diaby,Aston Villa,Midfielder,6.6,2,1,1,8,311
Edouard,Crystal Palace,Forward,5.5,3,0,1,3,339
Wissa,Brentford,Forward,6.2,2,1,1,5,329
J.Andersen,Crystal Palace,Defender,4.6,1,0,1,4,360
Mitoma,Brighton,Midfielder,6.5,1,3,0,6,350
Salah,Liverpool,Midfielder,12.5,2,2,1,3,341
Udogie,Spurs,Defender,4.7,0,2,2,4,330
Ward-Prowse,West Ham,Midfielder,6.1,1,3,0,3,260
Odegaard,Arsenal,Midfielder,8.5,2,0,1,3,352
Cash,Aston Villa,Defender,4.6,2,0,1,8,356
Darwin,Liverpool,Forward,7.4,2,2,1,0,105
Estupinan,Brighton,Defender,5.3,1,2,0,6,360
Foden,Man City,Midfielder,7.6,0,3,2,1,273
Solanke,Bournemouth,Forward,6.5,2,1,0,8,360
Vicario,Spurs,Goalkeeper,5.1,0,0,2,4,360
Areola,West Ham,Goalkeeper,4.1,0,0,0,4,360
P.Neto,Wolves,Midfielder,5.5,0,3,1,8,360
Nketiah,Arsenal,Forward,5.6,2,1,2,2,270
Antonio,West Ham,Forward,6.1,2,0,3,1,309
Disasi,Chelsea,Defender,5.1,1,0,1,5,360
Isak,Newcastle,Forward,7.7,2,0,1,5,276
Jensen,Brentford,Midfielder,5.4,1,1,2,4,289
Leno,Fulham,Goalkeeper,4.5,0,0,1,10,360
Luis Diaz,Liverpool,Midfielder,7.7,2,0,1,3,257
Rashford,Man Utd,Midfielder,8.9,1,2,1,7,351
Szoboszlai,Liverpool,Midfielder,7,1,1,1,3,360
A.Becker,Liverpool,Goalkeeper,5.5,0,0,1,3,360
B.Fernandes,Man Utd,Midfielder,8.4,1,1,1,7,360
Boly,Nottm Forest,Defender,4.5,1,0,1,6,338
Diogo J.,Liverpool,Midfielder,8,1,2,0,2,197
Eriksen,Man Utd,Midfielder,5.9,1,1,0,6,226
Gusto,Chelsea,Defender,4.2,0,2,1,3,262
Schade,Brentford,Midfielder,5.4,1,1,1,2,237
Ake,Man City,Defender,5.1,1,0,1,2,258
Aurier,Nottm Forest,Defender,4.5,0,2,1,6,341
Ederson M.,Man City,Goalkeeper,5.6,0,0,2,2,360
Jose Sa,Wolves,Goalkeeper,5,0,0,1,8,360
Rice,Arsenal,Midfielder,5.4,1,0,1,4,360
Watkins,Aston Villa,Forward,8,0,3,1,9,320
Zouma,West Ham,Defender,4.5,1,0,0,4,360
Alexander-Arnold,Liverpool,Defender,7.9,0,1,1,3,326
Bailey,Aston Villa,Midfielder,5.5,1,1,1,4,153
Gross,Brighton,Midfielder,6.4,1,0,1,5,348
McGinn,Aston Villa,Midfielder,5.5,1,0,1,7,333
Mitchell,Crystal Palace,Defender,4.5,0,1,1,4,360
Pedro Porro,Spurs,Defender,5,0,1,2,2,267
Saliba,Arsenal,Defender,5.2,0,1,1,4,360
Sarr,Spurs,Midfielder,4.5,1,1,1,1,215
Walker,Man City,Defender,5.2,0,0,2,2,360
Akanji,Man City,Defender,5.1,0,0,2,1,270
Andreas,Fulham,Midfielder,5.5,1,1,1,7,251
Chilwell,Chelsea,Defender,5.8,0,1,1,4,295
Digne,Aston Villa,Defender,4.5,0,2,1,9,350
Eze,Crystal Palace,Midfielder,6.3,1,0,1,4,360
Foster,Burnley,Forward,5,2,0,0,11,260
Gibbs-White,Nottm Forest,Midfielder,5.9,0,2,1,6,360
Gilmour,Brighton,Midfielder,4.9,0,2,1,4,241
Gordon,Newcastle,Midfielder,5.5,1,1,1,5,283
L.Paqueta,West Ham,Midfielder,6,1,1,1,3,354
Martinelli,Arsenal,Midfielder,7.9,0,2,1,4,333
Morris,Luton,Forward,5.5,1,1,0,9,270
